"Time","total"
19:10:00 19-09-2025,503.48 GiB
19:20:00 19-09-2025,503.48 GiB
19:30:00 19-09-2025,503.48 GiB
19:40:00 19-09-2025,503.48 GiB
19:50:00 19-09-2025,503.48 GiB
20:00:00 19-09-2025,503.48 GiB
20:10:00 19-09-2025,503.48 GiB
20:20:00 19-09-2025,503.48 GiB
20:30:00 19-09-2025,503.48 GiB
20:40:00 19-09-2025,503.48 GiB
20:50:00 19-09-2025,503.48 GiB
21:00:00 19-09-2025,503.48 GiB
21:10:00 19-09-2025,503.48 GiB
21:20:00 19-09-2025,503.48 GiB
21:30:00 19-09-2025,503.48 GiB
21:40:00 19-09-2025,503.48 GiB
21:50:00 19-09-2025,503.48 GiB
22:00:00 19-09-2025,503.48 GiB
22:10:00 19-09-2025,503.48 GiB
22:20:00 19-09-2025,503.48 GiB
22:30:00 19-09-2025,503.48 GiB
22:40:00 19-09-2025,503.48 GiB
22:50:00 19-09-2025,503.48 GiB
23:00:00 19-09-2025,503.48 GiB
23:10:00 19-09-2025,503.48 GiB
23:20:00 19-09-2025,503.48 GiB
23:30:00 19-09-2025,503.48 GiB
23:40:00 19-09-2025,503.48 GiB
23:50:00 19-09-2025,503.48 GiB
00:00:00 20-09-2025,503.48 GiB
00:10:00 20-09-2025,503.48 GiB
00:20:00 20-09-2025,503.48 GiB
00:30:00 20-09-2025,503.48 GiB
00:40:00 20-09-2025,503.48 GiB
00:50:00 20-09-2025,503.48 GiB
01:00:00 20-09-2025,503.48 GiB
01:10:00 20-09-2025,503.48 GiB
01:20:00 20-09-2025,503.48 GiB
01:30:00 20-09-2025,503.48 GiB
01:40:00 20-09-2025,503.48 GiB
01:50:00 20-09-2025,503.48 GiB
02:00:00 20-09-2025,503.48 GiB
02:10:00 20-09-2025,503.48 GiB
02:20:00 20-09-2025,503.48 GiB
02:30:00 20-09-2025,503.48 GiB
02:40:00 20-09-2025,503.48 GiB
02:50:00 20-09-2025,503.48 GiB
03:00:00 20-09-2025,503.48 GiB
03:10:00 20-09-2025,503.48 GiB
03:20:00 20-09-2025,503.48 GiB
03:30:00 20-09-2025,503.48 GiB
03:40:00 20-09-2025,503.48 GiB
03:50:00 20-09-2025,503.48 GiB
04:00:00 20-09-2025,503.48 GiB
04:10:00 20-09-2025,503.48 GiB
04:20:00 20-09-2025,503.48 GiB
04:30:00 20-09-2025,503.48 GiB
04:40:00 20-09-2025,503.48 GiB
04:50:00 20-09-2025,503.48 GiB
05:00:00 20-09-2025,503.48 GiB
05:10:00 20-09-2025,503.48 GiB
05:20:00 20-09-2025,503.48 GiB
05:30:00 20-09-2025,503.48 GiB
05:40:00 20-09-2025,503.48 GiB
05:50:00 20-09-2025,503.48 GiB
06:00:00 20-09-2025,503.48 GiB
06:10:00 20-09-2025,503.48 GiB
06:20:00 20-09-2025,503.48 GiB
06:30:00 20-09-2025,503.48 GiB
06:40:00 20-09-2025,503.48 GiB
06:50:00 20-09-2025,503.48 GiB
07:00:00 20-09-2025,503.48 GiB
07:10:00 20-09-2025,503.48 GiB
07:20:00 20-09-2025,503.48 GiB
07:30:00 20-09-2025,503.48 GiB
07:40:00 20-09-2025,503.48 GiB
07:50:00 20-09-2025,503.48 GiB
08:00:00 20-09-2025,503.48 GiB
08:10:00 20-09-2025,503.48 GiB
08:20:00 20-09-2025,503.48 GiB
08:30:00 20-09-2025,503.48 GiB
08:40:00 20-09-2025,503.48 GiB
08:50:00 20-09-2025,503.48 GiB
09:00:00 20-09-2025,503.48 GiB
09:10:00 20-09-2025,503.48 GiB
09:20:00 20-09-2025,503.48 GiB
09:30:00 20-09-2025,503.48 GiB
09:40:00 20-09-2025,503.48 GiB
09:50:00 20-09-2025,503.48 GiB
10:00:00 20-09-2025,503.48 GiB
10:10:00 20-09-2025,503.48 GiB
10:20:00 20-09-2025,503.48 GiB
10:30:00 20-09-2025,503.48 GiB
10:40:00 20-09-2025,503.48 GiB
10:50:00 20-09-2025,503.48 GiB
11:00:00 20-09-2025,503.48 GiB
11:10:00 20-09-2025,503.48 GiB
11:20:00 20-09-2025,503.48 GiB
11:30:00 20-09-2025,503.48 GiB
11:40:00 20-09-2025,503.48 GiB
11:50:00 20-09-2025,503.48 GiB
12:00:00 20-09-2025,503.48 GiB
12:10:00 20-09-2025,503.48 GiB
12:20:00 20-09-2025,503.48 GiB
12:30:00 20-09-2025,503.48 GiB
12:40:00 20-09-2025,503.48 GiB
12:50:00 20-09-2025,503.48 GiB
13:00:00 20-09-2025,503.48 GiB
13:10:00 20-09-2025,503.48 GiB
13:20:00 20-09-2025,503.48 GiB
13:30:00 20-09-2025,503.48 GiB
13:40:00 20-09-2025,503.48 GiB
13:50:00 20-09-2025,503.48 GiB
14:00:00 20-09-2025,503.48 GiB
14:10:00 20-09-2025,503.48 GiB
14:20:00 20-09-2025,503.48 GiB
14:30:00 20-09-2025,503.48 GiB
14:40:00 20-09-2025,503.48 GiB
14:50:00 20-09-2025,503.48 GiB
15:00:00 20-09-2025,503.48 GiB
15:10:00 20-09-2025,503.48 GiB
15:20:00 20-09-2025,503.48 GiB
15:30:00 20-09-2025,503.48 GiB
15:40:00 20-09-2025,503.48 GiB
15:50:00 20-09-2025,503.48 GiB
16:00:00 20-09-2025,503.48 GiB
16:10:00 20-09-2025,503.48 GiB
16:20:00 20-09-2025,503.48 GiB
16:30:00 20-09-2025,503.48 GiB
16:40:00 20-09-2025,503.48 GiB
16:50:00 20-09-2025,503.48 GiB
17:00:00 20-09-2025,503.48 GiB
17:10:00 20-09-2025,503.48 GiB
17:20:00 20-09-2025,503.48 GiB
17:30:00 20-09-2025,503.48 GiB
17:40:00 20-09-2025,503.48 GiB
17:50:00 20-09-2025,503.48 GiB
18:00:00 20-09-2025,503.48 GiB
18:10:00 20-09-2025,503.48 GiB
18:20:00 20-09-2025,503.48 GiB
18:30:00 20-09-2025,503.48 GiB
18:40:00 20-09-2025,503.48 GiB
18:50:00 20-09-2025,503.48 GiB
19:00:00 20-09-2025,503.48 GiB
19:10:00 20-09-2025,503.48 GiB
19:20:00 20-09-2025,503.48 GiB
19:30:00 20-09-2025,503.48 GiB
19:40:00 20-09-2025,503.48 GiB
19:50:00 20-09-2025,503.48 GiB
20:00:00 20-09-2025,503.48 GiB
20:10:00 20-09-2025,503.48 GiB
20:20:00 20-09-2025,503.48 GiB
20:30:00 20-09-2025,503.48 GiB
20:40:00 20-09-2025,503.48 GiB
20:50:00 20-09-2025,503.48 GiB
21:00:00 20-09-2025,503.48 GiB
21:10:00 20-09-2025,503.48 GiB
21:20:00 20-09-2025,503.48 GiB
21:30:00 20-09-2025,503.48 GiB
21:40:00 20-09-2025,503.48 GiB
21:50:00 20-09-2025,503.48 GiB
22:00:00 20-09-2025,503.48 GiB
22:10:00 20-09-2025,503.48 GiB
22:20:00 20-09-2025,503.48 GiB
22:30:00 20-09-2025,503.48 GiB
22:40:00 20-09-2025,503.48 GiB
22:50:00 20-09-2025,503.48 GiB
23:00:00 20-09-2025,503.48 GiB
23:10:00 20-09-2025,503.48 GiB
23:20:00 20-09-2025,503.48 GiB
23:30:00 20-09-2025,503.48 GiB
23:40:00 20-09-2025,503.48 GiB
23:50:00 20-09-2025,503.48 GiB
00:00:00 21-09-2025,503.48 GiB
00:10:00 21-09-2025,503.48 GiB
00:20:00 21-09-2025,503.48 GiB
00:30:00 21-09-2025,503.48 GiB
00:40:00 21-09-2025,503.48 GiB
00:50:00 21-09-2025,503.48 GiB
01:00:00 21-09-2025,503.48 GiB
01:10:00 21-09-2025,503.48 GiB
01:20:00 21-09-2025,503.48 GiB
01:30:00 21-09-2025,503.48 GiB
01:40:00 21-09-2025,503.48 GiB
01:50:00 21-09-2025,503.48 GiB
02:00:00 21-09-2025,503.48 GiB
02:10:00 21-09-2025,503.48 GiB
02:20:00 21-09-2025,503.48 GiB
02:30:00 21-09-2025,503.48 GiB
02:40:00 21-09-2025,503.48 GiB
02:50:00 21-09-2025,503.48 GiB
03:00:00 21-09-2025,503.48 GiB
03:10:00 21-09-2025,503.48 GiB
03:20:00 21-09-2025,503.48 GiB
03:30:00 21-09-2025,503.48 GiB
03:40:00 21-09-2025,503.48 GiB
03:50:00 21-09-2025,503.48 GiB
04:00:00 21-09-2025,503.48 GiB
04:10:00 21-09-2025,503.48 GiB
04:20:00 21-09-2025,503.48 GiB
04:30:00 21-09-2025,503.48 GiB
04:40:00 21-09-2025,503.48 GiB
04:50:00 21-09-2025,503.48 GiB
05:00:00 21-09-2025,503.48 GiB
05:10:00 21-09-2025,503.48 GiB
05:20:00 21-09-2025,503.48 GiB
05:30:00 21-09-2025,503.48 GiB
05:40:00 21-09-2025,503.48 GiB
05:50:00 21-09-2025,503.48 GiB
